2025-10-23 14:20:09 | INFO     | APP      |                     | Stopping REST Server
2025-10-23 14:20:09 | INFO     | APP      |                     | Окончание работы системы
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.931ms] [rows:0] SELECT * FROM "auth_config_files" WHERE "auth_config_files"."config_key" = 'auth'
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [8.813ms] [rows:1] SELECT * FROM "auth_configs" WHERE key = 'auth' ORDER BY "auth_configs"."key" LIMIT 1
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.667ms] [rows:0] SELECT * FROM "auth_config_files" WHERE "auth_config_files"."config_key" = 'audit'
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [6.725ms] [rows:1] SELECT * FROM "auth_configs" WHERE key = 'audit' ORDER BY "auth_configs"."key" LIMIT 1
2025-10-23 14:20:28 | INFO     | APP      |                     | Начало работы системы
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [9.205ms] [rows:0] ALTER SEQUENCE public.auth_users_id_seq RESTART WITH 1024
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [8.145ms] [rows:10] SELECT * FROM "auth_permissions"
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [2.969ms] [rows:10] SELECT * FROM "auth_permissions"
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [7.431ms] [rows:1] SELECT * FROM "auth_roles" WHERE name = 'SuperAdmin' ORDER BY "auth_roles"."id" LIMIT 1
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.640ms] [rows:1] SELECT * FROM "auth_roles" WHERE name = 'LdapBroker' ORDER BY "auth_roles"."id" LIMIT 1
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [8.163ms] [rows:0] DELETE FROM "auth_role_permissions" WHERE role_id IN (1,2) AND permission_id NOT IN (1,2,3,4,5,6,7,8,9,10)
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [7.987ms] [rows:1] INSERT INTO "auth_role_permissions" ("role_id","permission_id","read","write","exec") VALUES (1,1,true,true,true) ON CONFLICT ("role_id","permission_id") DO UPDATE SET "read"="excluded"."read","write"="excluded"."write","exec"="excluded"."exec" RETURNING *
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.236ms] [rows:1] INSERT INTO "auth_role_permissions" ("role_id","permission_id","read","write","exec") VALUES (2,1,true,true,true) ON CONFLICT ("role_id","permission_id") DO UPDATE SET "read"="excluded"."read","write"="excluded"."write","exec"="excluded"."exec" RETURNING *
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.504ms] [rows:1] INSERT INTO "auth_role_permissions" ("role_id","permission_id","read","write","exec") VALUES (1,2,true,true,true) ON CONFLICT ("role_id","permission_id") DO UPDATE SET "read"="excluded"."read","write"="excluded"."write","exec"="excluded"."exec" RETURNING *
2025-10-23 14:20:28 | DEBUG    | DB       |                     | [3.617ms] [rows:1] INSERT INTO "auth_role_permissions" ("role_id","permission_id","read","write","exec") VALUES (2,2,true,true,true) ON CONFLICT ("role_id","permission_id") DO UPDATE SET "read"="excluded"."read","write"="excluded"."write","exec"="excluded"."exec" RETURNING *
